classe,codigo,descricao,qtd,status
Req p inventário,533786,FITA ISOLANTE 19MM X 20M PRET (Un),"-1,00",OK
Req p inventário,298876,MACHO ENG RÁPIDO DE 1/2 C/PROTETOR (Un),"-40,00",OK
Req p inventário,200481,"Sinaleira 12V, 22mm, Amarela (Un)","-1,00",OK
Req p inventário,649272,DISCO DE DESBASTE 1/4 x 7 x 7/8 (Un),"-12,00",OK
Req p inventário,497885,FITA MET.P/EMB.,"-32,38",OK
Req p inventário,350102,ARAME COBREADO MIG 1.2 (ER70S6) (KG),"-60,00",OK
Req p inventário,289024,ROLAMENTO 30208 SPZ/ZWZ/GBR/1ª L (Un),"-1,00",OK
Req p inventário,500630,NIPLE 1/4 REF. ARC,"-3,00",OK
Req p inventário,717096,PINCEL PILOTO QUADRO BRANCO (Un),"-3,00",OK
Req p inventário,702797,ÓCULOS SOBREPOR VERDE,"-5,00",OK
Req p inventário,533572,,"-6,00",OK
Req p inventário,712073,CX LIGA ELASTICA N° 18 C/ 55 UNIDS (Un),"-1,00",OK
Req p inventário,599071,PALHA DE AÇO Nº 2 (Un),"-6,00",OK
Req p inventário,501307,PARAFUSO SEX 5/8 X 3.1/2 UNC (Un),"-45,00",OK
Req p inventário,649914,DISCO DE LIXA 7 G,"-1,00",OK
Req p inventário,700386,TESOURA 21CM (Un),"-1,00",OK
Req p inventário,200298,CONECTOR PASSAGEM 8WA1011,"-175,00",OK
Req p inventário,240494,GANCHO C/ REBAIXO P/ F.RÁPIDO CÓD.ESP482 (Un),"-7,00",OK
Req p inventário,200457,PRENSA CABO 1 (Un),"-10,00",OK
Req p inventário,760025,ÁCIDO MURIATICO PARA LIMPEZA (L),"-5,00",OK
Req p inventário,504774,LUVA FG 1/2 (Un),"-17,00",OK
Req p inventário,703061,TRAPO COSTURADO (KG),"-325,00",OK
Req p inventário,274964,PORCA SEXTAVADA G5 1.1/2 UNF (Un),"-127,00",OK
Req p inventário,641303,BROCA AR 1/8 HAST.CIL.DIN338 (Un),"-1,00",OK
Req p inventário,704010,AÇÚCAR P/ COPA (KG),"-4,00",OK
Req p inventário,534299,534299,"-4,00",OK
Req p inventário,641601,BROCA AR 5/32 HAST.CIL.DIN338 (Un),"-17,00",OK
Req p inventário,504618,BUJÃO FG 3/4 (Un),"-1,00",OK
Req p inventário,200439,FLANGE P/ BOT. COM SINALI AF 3 POSIÇÕES CSW F C/ 12918902 (Un),"-10,00",OK
Req p inventário,649910,DISCO DE LIXA 4.1/2 G,"-360,00",OK
Req p inventário,649911,DISCO DE LIXA HOOKIT G,"-200,00",OK
Req p inventário,284191,RETENTOR REF 1707 BR (AR,"-141,00",OK
Req p inventário,649740,LIXA DE PANO P/ FERRO G,"-1,00",OK
Req p inventário,649764,LIXA DE PANO P/ FERRO G,"-1,00",OK
Req p inventário,712024,CORRETIVO (Un),"-1,00",OK
Req p inventário,258236,PARAFUSO SEXTAVADO 3/4 X 2.1/2 UNC (Un),"-200,00",OK
Req p inventário,200695,"CABO PP 2 x 1,5mm (M)","-35,00",OK
Req p inventário,260311,PARAF SEXT 5/8 X 3 G5 (8.8) UNC R.I (Un),"-95,00",OK
Req p inventário,200484,espaguete termo retrátil 1/2 (M),"-17,00",OK
Req p inventário,258820,PARAF SEX 1/2 X 4.1/2 8.8 UNF (Un),"-100,00",OK
Req p inventário,238405,MOLA DA TRAVA DA CBHM (Un),"-80,00",OK
Req p inventário,299108,CABO DE ACO 3/16 GALV. 6X7 + AF. (M),"-49,20",OK
Req p inventário,504749,AGUA DEIONIZADA/AUTOCLAVE (L),"-150,00",OK
Req p inventário,649870,LIXA D'AGUA G,"-70,00",OK
